[Line 168] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Wheel.Wheel | Size: 0.44016095995903015, 3.3112668991088867, 3.311267137527466
[Line 169] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Wheel.Hinge | Size: 0.4910240173339844, 0.6525793075561523, 0.652579128742218
[Line 170] [Output:5553]: [PART] Workspace.Boats.PirateBoat.EquipFolder.Model.Center | Size: 0.6000000238418579, 0.05000000074505806, 0.6000000238418579
[Line 171] [Output:5553]: [PART] Workspace.Boats.PirateBoat.EquipFolder.Model.Frame | Size: 0.6500004529953003, 0.6499999761581421, 1.500091552734375
[Line 172] [Output:5553]: [PART] Workspace.Boats.PirateBoat.EquipFolder.Model.Light | Size: 0.4000000059604645, 0.4000000059604645, 0.75
[Line 173] [Output:5553]: [PART] Workspace.Boats.PirateBoat.EquipFolder.Model.Light | Size: 0.4000000059604645, 0.4000000059604645, 0.75
[Line 174] [Output:5553]: [PART] Workspace.Boats.PirateBoat.EquipFolder.Model.Frame | Size: 0.6500004529953003, 0.6499999761581421, 1.500091552734375
[Line 175] [Output:5553]: [PART] Workspace.Boats.PirateBoat.EquipFolder.Cannon.Metal | Size: 9.873543739318848, 4.412874698638916, 6.1498332023620605
[Line 176] [Output:5553]: [PART] Workspace.Boats.PirateBoat.EquipFolder.Cannon.Metal | Size: 9.873543739318848, 4.412874698638916, 6.1498332023620605
[Line 177] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Deck2 | Size: 45.012447357177734, 5.853132724761963, 23.600000381469727
[Line 178] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Railing | Size: 64.59688568115234, 24.13664436340332, 26.262836456298828
[Line 179] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Rigging | Size: 8.964094161987305, 71.689697265625, 28.107179641723633
[Line 180] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Sail2_Back | Size: 46.0841064453125, 50.79492950439453, 0.0010000000474974513
[Line 181] [Output:5553]: [PART] Workspace.Boats.PirateBoat.RootPart | Size: 2, 2, 1
[Line 182] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Deco | Size: 4, 5, 4
[Line 183] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Grate | Size: 1, 1, 1
[Line 184] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Center | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 185] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Sail1_Front | Size: 45.68035125732422, 58.32502365112305, 0.0010000000474974513
[Line 186] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Masts.ShipFlag.fairgrounds_flagpole01 | Size: 10.050148963928223, 7.77485466003418, 0.7186683416366577
[Line 187] [Output:5553]: [PART] Workspace.Boats.PirateBoat.Wheel.Handles | Size: 0.4086160957813263, 4.816981792449951, 4.348565578460693
